A	h
455.284	0.366875
455.161	0.371875
455.348	0.376875
455.409	0.381875
455.594	0.386875
455.272	0.391875
454.783	0.396875
454.356	0.401875
454.94	0.406875
454.402	0.411875
454.813	0.416875
454.383	0.421875
454.217	0.426875
453.878	0.431875
453.254	0.436875
453.474	0.441875
452.278	0.446875
452.419	0.451875
451.542	0.456875
449.949	0.461875
449.525	0.466875
448.293	0.471875
447.76	0.476875
447.157	0.481875
446.586	0.486875
445.352	0.491875
444.729	0.496875
444.596	0.501875
446.231	0.506875
444.937	0.511875
444.719	0.516875
444.555	0.521875
443.912	0.526875
443.794	0.531875
441.544	0.536875
441.352	0.541875
439.867	0.547
439.206	0.551875
439.03	0.557
437.451	0.561875
438.195	0.567
435.811	0.571875
435.624	0.577
433.503	0.582
433.054	0.587
433.678	0.592
432.191	0.597
431.467	0.602
429.062	0.607
428.524	0.612
426.655	0.617
424.978	0.622
425.646	0.627
426.423	0.632
424.12	0.637
424.415	0.642
424.022	0.647
420.785	0.652
419.669	0.657
420.279	0.662
420.885	0.667
420.609	0.672
419.031	0.677125
416.165	0.682
415.033	0.687125
413.092	0.692125
413.498	0.697125
412.842	0.702125
410.367	0.707125
408.753	0.712125
408.623	0.717125
405.401	0.722
405.434	0.727125
401.835	0.732
403.488	0.737125
401.371	0.742
397.665	0.747
